" Datos Básicos  - Familiares que trabajan en explotaciones agrarias"
"Datos de: INDICADOR=FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS"
"FAMILIA INDICADOR",,"AGRICULTURA",
"INDICADOR",,"FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
"1989","05001 ADANERO",          72,
,"05002 ADRADA (LA)",         421,
,"05005 ALBORNOS",         100,
,"05007 ALDEANUEVA DE SANTA CRUZ",         100,
,"05008 ALDEASECA",         113,
,"05010 ALDEHUELA (LA)",         117,
,"05012 AMAVIDA",         121,
,"05013 ARENAL (EL)",        1070,
,"05014 ARENAS DE SAN PEDRO",        1518,
,"05015 AREVALILLO",          77,
,"05016 AREVALO",         169,
,"05017 AVEINTE",          49,
,"05018 AVELLANEDA",          50,
,"05019 AVILA",         666,
,"05021 BARCO DE AVILA (EL)",         203,
,"05022 BARRACO (EL)",        1011,
,"05023 BARROMAN",          66,
,"05024 BECEDAS",         142,
,"05025 BECEDILLAS",         128,
,"05026 BERCIAL DE ZAPARDIEL",         128,
,"05027 BERLANAS (LAS)",          99,
,"05029 BERNUY-ZAPARDIEL",          79,
,"05030 BERROCALEJO DE ARAGONA",          57,
,"05033 BLASCOMILLAN",          70,
,"05034 BLASCONUÑO DE MATACABRAS",          31,
,"05035 BLASCOSANCHO",         103,
,"05036 BOHODON (EL)",          82,
,"05037 BOHOYO",         415,
,"05038 BONILLA DE LA SIERRA",         225,
,"05039 BRABOS",          39,
,"05040 BULARROS",          89,
,"05041 BURGOHONDO",         661,
,"05042 CABEZAS DE ALAMBRE",          56,
,"05043 CABEZAS DEL POZO",          73,
,"05044 CABEZAS DEL VILLAR",         265,
,"05045 CABIZUELA",          67,
,"05046 CANALES",          25,
,"05047 CANDELEDA",        2383,
,"05048 CANTIVEROS",          57,
,"05049 CARDEÑOSA",         378,
,"05051 CARRERA (LA)",         197,
,"05052 CASAS DEL PUERTO",          93,
,"05053 CASASOLA",          83,
,"05054 CASAVIEJA",         630,
,"05055 CASILLAS",         692,
,"05056 CASTELLANOS DE ZAPARDIEL",          55,
,"05057 CEBREROS",        1383,
,"05058 CEPEDA LA MORA",          80,
,"05059 CILLAN",          99,
,"05060 CISLA",          72,
,"05061 COLILLA (LA)",         101,
,"05062 COLLADO DE CONTRERAS",          83,
,"05063 COLLADO DEL MIRON",          61,
,"05064 CONSTANZANA",          74,
,"05065 CRESPOS",         143,
,"05066 CUEVAS DEL VALLE",         516,
,"05067 CHAMARTIN",          53,
,"05069 DONJIMENO",          48,
,"05070 DONVIDAS",          37,
,"05072 ESPINOSA DE LOS CABALLEROS",          67,
,"05073 FLORES DE AVILA",         148,
,"05074 FONTIVEROS",         156,
,"05075 FRESNEDILLA",          86,
,"05076 FRESNO (EL)",         208,
,"05077 FUENTE EL SAUZ",          63,
,"05078 FUENTES DE AÑO",          70,
,"05079 GALLEGOS DE ALTAMIROS",         189,
,"05080 GALLEGOS DE SOBRINOS",          85,
,"05081 GARGANTA DEL VILLAR",          97,
,"05082 GAVILANES",         376,
,"05083 GEMUÑO",         137,
,"05084 GILBUENA",         119,
,"05085 GIL GARCIA",          64,
,"05086 GIMIALCON",          73,
,"05087 GOTARRENDURA",          51,
,"05088 GRANDES Y SAN MARTIN",          51,
,"05089 GUISANDO",         242,
,"05090 GUTIERRE-MUÑOZ",          63,
,"05092 HERNANSANCHO",          64,
,"05093 HERRADON DE PINARES",         147,
,"05094 HERREROS DE SUSO",          82,
,"05095 HIGUERA DE LAS DUEÑAS",         114,
,"05096 HIJA DE DIOS (LA)",         123,
,"05097 HORCAJADA (LA)",         471,
,"05099 HORCAJO DE LAS TORRES",         178,
,"05100 HORNILLO (EL)",         489,
,"05101 HOYOCASERO",         201,
,"05102 HOYO DE PINARES (EL)",         737,
,"05103 HOYORREDONDO",         124,
,"05104 HOYOS DEL COLLADO",          38,
,"05105 HOYOS DEL ESPINO",          59,
,"05106 HOYOS DE MIGUEL MUÑOZ",          44,
,"05107 HURTUMPASCUAL",          69,
,"05108 JUNCIANA",          87,
,"05109 LANGA",         145,
,"05110 LANZAHITA",         282,
,"05112 LOSAR DEL BARCO (EL)",         144,
,"05113 LLANOS DE TORMES (LOS)",         141,
,"05114 MADRIGAL DE LAS ALTAS TORRES",         199,
,"05115 MAELLO",         155,
,"05116 MALPARTIDA DE CORNEJA",         124,
,"05117 MAMBLAS",          87,
,"05118 MANCERA DE ARRIBA",          53,
,"05119 MANJABALAGO Y ORTIGOSA DE RIOALMAR",          90,
,"05120 MARLIN",          32,
,"05121 MARTIHERRERO",         116,
,"05122 MARTINEZ",         128,
,"05123 MEDIANA DE VOLTOYA",          78,
,"05124 MEDINILLA",         137,
,"05125 MENGAMUÑOZ",          43,
,"05126 MESEGAR DE CORNEJA",         128,
,"05127 MIJARES",         374,
,"05128 MINGORRIA",          83,
,"05129 MIRON (EL)",         166,
,"05130 MIRONCILLO",          53,
,"05131 MIRUEÑA DE LOS INFANZONES",         107,
,"05132 MOMBELTRAN",         588,
,"05133 MONSALUPE",          34,
,"05134 MORALEJA DE MATACABRAS",          15,
,"05135 MUÑANA",         171,
,"05136 MUÑICO",         120,
,"05138 MUÑOGALINDO",         123,
,"05139 MUÑOGRANDE",          65,
,"05140 MUÑOMER DEL PECO",          57,
,"05141 MUÑOPEPE",          69,
,"05142 MUÑOSANCHO",          63,
,"05143 MUÑOTELLO",         137,
,"05144 NARRILLOS DEL ALAMO",          96,
,"05145 NARRILLOS DEL REBOLLAR",         100,
,"05147 NARROS DEL CASTILLO",          85,
,"05148 NARROS DEL PUERTO",         127,
,"05149 NARROS DE SALDUEÑA",          58,
,"05151 NAVACEPEDILLA DE CORNEJA",          74,
,"05152 NAVA DE AREVALO",         343,
,"05153 NAVA DEL BARCO",         221,
,"05154 NAVADIJOS",          66,
,"05155 NAVAESCURIAL",          73,
,"05156 NAVAHONDILLA",          53,
,"05157 NAVALACRUZ",         146,
,"05158 NAVALMORAL",         421,
,"05159 NAVALONGUILLA",         272,
,"05160 NAVALOSA",         182,
,"05161 NAVALPERAL DE PINARES",         387,
,"05162 NAVALPERAL DE TORMES",         128,
,"05163 NAVALUENGA",         954,
,"05164 NAVAQUESERA",          40,
,"05165 NAVARREDONDA DE GREDOS",         116,
,"05166 NAVARREDONDILLA",         237,
,"05167 NAVARREVISCA",         331,
,"05168 NAVAS DEL MARQUES (LAS)",         215,
,"05169 NAVATALGORDO",         552,
,"05170 NAVATEJARES",         153,
,"05171 NEILA DE SAN MIGUEL",          72,
,"05172 NIHARRA",          72,
,"05173 OJOS-ALBOS",          52,
,"05174 ORBITA",          59,
,"05175 OSO (EL)",          67,
,"05176 PADIERNOS",         116,
,"05177 PAJARES DE ADAJA",          92,
,"05178 PALACIOS DE GODA",         180,
,"05179 PAPATRIGO",          93,
,"05180 PARRAL (EL)",          56,
,"05181 PASCUALCOBO",         160,
,"05182 PEDRO BERNARDO",        1110,
,"05183 PEDRO-RODRIGUEZ",         122,
,"05184 PEGUERINOS",         157,
,"05185 PEÑALBA DE AVILA",          73,
,"05186 PIEDRAHITA",         211,
,"05187 PIEDRALAVES",         728,
,"05188 POVEDA",         113,
,"05189 POYALES DEL HOYO",         171,
,"05190 POZANCO",          63,
,"05191 PRADOSEGAR",         201,
,"05192 PUERTO CASTILLA",         107,
,"05193 RASUEROS",         125,
,"05194 RIOCABADO",          90,
,"05195 RIOFRIO",         220,
,"05196 RIVILLA DE BARAJAS",          31,
,"05197 SALOBRAL",          32,
,"05198 SALVADIOS",          80,
,"05199 SAN BARTOLOME DE BEJAR",          62,
,"05200 SAN BARTOLOME DE CORNEJA",          80,
,"05201 SAN BARTOLOME DE PINARES",         482,
,"05204 SANCHIDRIAN",         101,
,"05205 SANCHORREJA",          63,
,"05206 SAN ESTEBAN DE LOS PATOS",          56,
,"05207 SAN ESTEBAN DEL VALLE",         745,
,"05208 SAN ESTEBAN DE ZAPARDIEL",          57,
,"05209 SAN GARCIA DE INGELMOS",          96,
,"05210 SAN JUAN DE LA ENCINILLA",          62,
,"05211 SAN JUAN DE LA NAVA",         386,
,"05212 SAN JUAN DEL MOLINILLO",         222,
,"05213 SAN JUAN DEL OLMO",         149,
,"05214 SAN LORENZO DE TORMES",          97,
,"05215 SAN MARTIN DE LA VEGA DEL ALBERCHE",         318,
,"05216 SAN MARTIN DEL PIMPOLLAR",         123,
,"05217 SAN MIGUEL DE CORNEJA",          95,
,"05218 SAN MIGUEL DE SERREZUELA",         272,
,"05219 SAN PASCUAL",          43,
,"05220 SAN PEDRO DEL ARROYO",          60,
,"05221 SANTA CRUZ DEL VALLE",         264,
,"05222 SANTA CRUZ DE PINARES",         122,
,"05224 SANTA MARIA DEL ARROYO",          56,
,"05225 SANTA MARIA DEL BERROCAL",         216,
,"05226 SANTA MARIA DE LOS CABALLEROS",         126,
,"05227 SANTA MARIA DEL TIETAR",          96,
,"05228 SANTIAGO DEL COLLADO",         166,
,"05229 SANTO DOMINGO DE LAS POSADAS",          52,
,"05230 SANTO TOME DE ZABARCOS",          39,
,"05231 SAN VICENTE DE AREVALO",          89,
,"05232 SERRADA (LA)",          63,
,"05233 SERRANILLOS",         288,
,"05234 SIGERES",          49,
,"05235 SINLABAJOS",         101,
,"05236 SOLANA DE AVILA",         122,
,"05237 SOLANA DE RIOALMAR",         131,
,"05238 SOLOSANCHO",         553,
,"05239 SOTALBO",          70,
,"05240 SOTILLO DE LA ADRADA",         520,
,"05241 TIEMBLO (EL)",         778,
,"05242 TIÑOSILLOS",          79,
,"05243 TOLBAÑOS",         141,
,"05244 TORMELLAS",         103,
,"05245 TORNADIZOS DE AVILA",         127,
,"05246 TORTOLES",         118,
,"05247 TORRE (LA)",         301,
,"05249 UMBRIAS",         103,
,"05251 VADILLO DE LA SIERRA",         316,
,"05252 VALDECASA",          90,
,"05253 VEGA DE SANTA MARIA",          77,
,"05254 VELAYOS",          73,
,"05256 VILLAFLOR",          92,
,"05257 VILLAFRANCA DE LA SIERRA",         116,
