" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
"1995","05007 ALDEANUEVA DE SANTA CRUZ",           1,
,"05008 ALDEASECA",           2,
,"05013 ARENAL (EL)",           4,
,"05014 ARENAS DE SAN PEDRO",           9,
,"05016 AREVALO",          59,
,"05017 AVEINTE",           1,
,"05019 AVILA",          77,
,"05021 BARCO DE AVILA (EL)",           1,
,"05022 BARRACO (EL)",           2,
,"05023 BARROMAN",           2,
,"05026 BERCIAL DE ZAPARDIEL",           3,
,"05036 BOHODON (EL)",           1,
,"05038 BONILLA DE LA SIERRA",           1,
,"05042 CABEZAS DE ALAMBRE",           5,
,"05046 CANALES",           1,
,"05047 CANDELEDA",           4,
,"05049 CARDEÑOSA",           1,
,"05051 CARRERA (LA)",           1,
,"05056 CASTELLANOS DE ZAPARDIEL",           3,
,"05057 CEBREROS",           7,
,"05059 CILLAN",           1,
,"05060 CISLA",           1,
,"05061 COLILLA (LA)",           1,
,"05065 CRESPOS",           4,
,"05066 CUEVAS DEL VALLE",           6,
,"05074 FONTIVEROS",           7,
,"05078 FUENTES DE AÑO",           1,
,"05086 GIMIALCON",           1,
,"05090 GUTIERRE-MUÑOZ",           1,
,"05095 HIGUERA DE LAS DUEÑAS",           2,
,"05099 HORCAJO DE LAS TORRES",           1,
,"05100 HORNILLO (EL)",           1,
,"05101 HOYOCASERO",           2,
,"05109 LANGA",           2,
,"05110 LANZAHITA",           5,
,"05114 MADRIGAL DE LAS ALTAS TORRES",           2,
,"05115 MAELLO",           1,
,"05117 MAMBLAS",           2,
,"05128 MINGORRIA",           1,
,"05132 MOMBELTRAN",           2,
,"05135 MUÑANA",           3,
,"05136 MUÑICO",           1,
,"05139 MUÑOGRANDE",           1,
,"05140 MUÑOMER DEL PECO",           1,
,"05144 NARRILLOS DEL ALAMO",           1,
,"05149 NARROS DE SALDUEÑA",           2,
,"05151 NAVACEPEDILLA DE CORNEJA",           1,
,"05152 NAVA DE AREVALO",           5,
,"05158 NAVALMORAL",           9,
,"05160 NAVALOSA",           1,
,"05163 NAVALUENGA",           3,
,"05165 NAVARREDONDA DE GREDOS",           3,
,"05166 NAVARREDONDILLA",           1,
,"05168 NAVAS DEL MARQUES (LAS)",          32,
,"05169 NAVATALGORDO",           2,
,"05176 PADIERNOS",           1,
,"05179 PAPATRIGO",           3,
,"05183 PEDRO-RODRIGUEZ",           2,
,"05187 PIEDRALAVES",           1,
,"05193 RASUEROS",           1,
,"05194 RIOCABADO",           1,
,"05204 SANCHIDRIAN",           3,
,"05212 SAN JUAN DEL MOLINILLO",           1,
,"05220 SAN PEDRO DEL ARROYO",           2,
,"05222 SANTA CRUZ DE PINARES",           1,
,"05230 SANTO TOME DE ZABARCOS",           1,
,"05231 SAN VICENTE DE AREVALO",           6,
,"05235 SINLABAJOS",           3,
,"05237 SOLANA DE RIOALMAR",           1,
,"05238 SOLOSANCHO",           5,
,"05240 SOTILLO DE LA ADRADA",           1,
,"05241 TIEMBLO (EL)",          12,
,"05242 TIÑOSILLOS",           3,
,"05245 TORNADIZOS DE AVILA",           3,
,"05254 VELAYOS",           3,
,"05257 VILLAFRANCA DE LA SIERRA",           1,
,"05259 VILLANUEVA DEL ACERAL",           2,
,"05902 SANTA MARIA DEL CUBILLO",          10,
,"09018 ARANDA DE DUERO",         336,
,"09022 ARAUZO DE TORRE",           1,
,"09025 ARIJA",           2,
,"09029 ATAPUERCA",           2,
,"09034 BALBASES (LOS)",           4,
,"09038 BARBADILLO DEL MERCADO",           1,
,"09045 BASCONCILLOS DEL TOZO",           1,
,"09048 BELORADO",          10,
,"09052 BERZOSA DE BUREBA",           1,
,"09056 BRIVIESCA",          55,
,"09059 BURGOS",         632,
,"09060 BUSTO DE BUREBA",           2,
,"09061 CABAÑES DE ESGUEVA",           4,
,"09063 CAVIA",           6,
,"09064 CALERUEGA",           1,
,"09065 CAMPILLO DE ARANDA",           5,
